company,industry,size,city,state,problem_category,problem,technology,project,procurement_status,revenue,estimated_expense,evidence,source_url,valtiren_opportunity,lead_score,website_domain,electric_context,employees,customers,size_enriched,detected_problems,detected_technology,detected_opportunities,financial_signals,phone,email,lead_score_enriched,source_status
ArcGIS for Utilities: How Managed Cloud Transforms GIS,Utilities,,,Arkansas,GIS,gis modernization,GIS; Esri; ArcGIS; Utility Network; AWS; Azure; cloud; ERP,,,,,"rgencies, and make it easier to keep important GIS data secure, accurate, and available whenever field crews and office staff need it. Why Utility GIS Is Moving to Managed Cloud ArcGIS for utilities is moving away from on premises servers as more organizations adopt managed cloud solutions. Utility GIS modernization helps electric, water, and gas providers manage their mapping systems more easily while reducing the need to maintain everything in house. Below are some of the main reasons utilities are making this change. Older on premises servers are expensive to maintain and upgrade. Field teams need faster and more reliable access to maps and data. Storms, leaks, and outages can quickly increase the demand for GIS systems. IT teams want to spend less time on routine maintenance and more time on important ",https://cybertech.com/resources/articles/arcgis-electric-water-gas-utilities-cloud-transformation/,GIS modernization / migration,100,cybertech.com,electric utility; electric utilities; electric cooperative; electric grid; substation; power line,,,,Aging Grid; GIS Modernization,GIS; Utility Network; Grid Asset Management; Distribution Assets; OT / Grid Operations; Outage Management; Cloud; Digital Twin; DER; Mobile Workforce; Field Data Collection,Modernization Project,,215-494-2846,connect@cybertech.com,100,scraped
ArcGIS for Utilities: How Managed Cloud Transforms GIS,Utilities,,,Arkansas,Asset Management,asset management,GIS; Esri; ArcGIS; Utility Network; AWS; Azure; cloud; ERP,,,,,"er storm recovery. 2. Grid and Asset Visibility ArcGIS Utility Network gives electric teams a clear picture of poles, transformers, and lines across the whole grid. Managed cloud keeps this data fast and available, so planners and field crews can see the same accurate picture through shared utility asset management solutions . 3. Field Crew Access Field crew mobile GIS lets linemen view maps and asset details from a truck or job site. Managed cloud keeps these mobile apps fast and synced, so crews always see the latest grid data, even in areas with a weak signal. 4. Scalability During High-Demand Events During heat waves or major storms, more people check outage maps at once than usual. Managed cloud automatically adds capacity so the system does not slow down or crash. This kind of scalability is hard to",https://cybertech.com/resources/articles/arcgis-electric-water-gas-utilities-cloud-transformation/,Asset inventory / management,100,cybertech.com,electric utility; electric utilities; electric cooperative; electric grid; substation; power line,,,,Aging Grid; GIS Modernization,GIS; Utility Network; Grid Asset Management; Distribution Assets; OT / Grid Operations; Outage Management; Cloud; Digital Twin; DER; Mobile Workforce; Field Data Collection,Modernization Project,,215-494-2846,connect@cybertech.com,100,scraped
ArcGIS for Utilities: How Managed Cloud Transforms GIS,Utilities,,,Arkansas,Infrastructure,aging infrastructure,GIS; Esri; ArcGIS; Utility Network; AWS; Azure; cloud; ERP,,,,,"ar Events Press Release Articles About Us Solutions CoEs Industries Resources Investors Partnerships Careers Contact Us ArcGIS for Utilities: How Managed Cloud Transforms Electric, Water & Gas GIS Many electric, water, and gas providers are under pressure to deliver reliable services while managing aging infrastructure and growing customer needs. That is why more organizations are turning to ArcGIS for utilities and managed cloud solutions. A cloud-based GIS helps teams access maps, asset information, and field data faster without spending time maintaining complex servers. This is especially helpful for GIS for municipal utilities, where smaller teams often need reliable technology without adding extra IT work. Whether you manage power lines, water pipelines, or gas networks, moving to managed cloud can impro",https://cybertech.com/resources/articles/arcgis-electric-water-gas-utilities-cloud-transformation/,Infrastructure intelligence,100,cybertech.com,electric utility; electric utilities; electric cooperative; electric grid; substation; power line,,,,Aging Grid; GIS Modernization,GIS; Utility Network; Grid Asset Management; Distribution Assets; OT / Grid Operations; Outage Management; Cloud; Digital Twin; DER; Mobile Workforce; Field Data Collection,Modernization Project,,215-494-2846,connect@cybertech.com,100,scraped
ArcGIS for Utilities: How Managed Cloud Transforms GIS,Utilities,,,Arkansas,System Modernization,digital transformation,GIS; Esri; ArcGIS; Utility Network; AWS; Azure; cloud; ERP,,,,,"e ArcGIS Enterprise Environment for Veolia on AWS Coming soon: see how Gloucester County modernized its ArcGIS Enterprise platform on AWS with CyberTech’s Managed ArcGIS Cloud Services. From PI/PO to SAP Integration Suite: Dodge Industrial’s Cloud-Native Integration Journey Central Arkansas Water's Digital Transformation "" * "" indicates required fields Name * Email * Company Untitled I'd also like to receive updates and marketing communications from CyberTech. Untitled * I agree to CyberTech processing my details above to respond to my enquiry, in line with the Privacy Notice. Facebook This field is for validation purposes and should be left unchanged.",https://cybertech.com/resources/articles/arcgis-electric-water-gas-utilities-cloud-transformation/,Legacy system modernization,100,cybertech.com,electric utility; electric utilities; electric cooperative; electric grid; substation; power line,,,,Aging Grid; GIS Modernization,GIS; Utility Network; Grid Asset Management; Distribution Assets; OT / Grid Operations; Outage Management; Cloud; Digital Twin; DER; Mobile Workforce; Field Data Collection,Modernization Project,,215-494-2846,connect@cybertech.com,100,scraped
ArcGIS for Utilities: How Managed Cloud Transforms GIS,Utilities,,,Arkansas,Field Operations,field data collection,GIS; Esri; ArcGIS; Utility Network; AWS; Azure; cloud; ERP,,,,,"ortant GIS data available whenever it is needed. FAQs What is ArcGIS used for in electric, water, and gas utilities? ArcGIS for utilities helps electric, water, and gas providers map and manage assets like poles, pipes, and pipelines. It supports asset tracking, outage response, leak detection, and field data collection, giving utility teams a shared, accurate view of their entire network in one system. How does managed cloud improve utility GIS operations? Managed cloud improves utility GIS operations by keeping systems fast, available, and up to date without heavy in house IT work. Utility GIS modernization through managed cloud means less time spent on servers and patches, and more time spent serving customers and responding to field issues. Can sensitive utility GIS data be managed securely in the cloud? Y",https://cybertech.com/resources/articles/arcgis-electric-water-gas-utilities-cloud-transformation/,Field data / mobile GIS,100,cybertech.com,electric utility; electric utilities; electric cooperative; electric grid; substation; power line,,,,Aging Grid; GIS Modernization,GIS; Utility Network; Grid Asset Management; Distribution Assets; OT / Grid Operations; Outage Management; Cloud; Digital Twin; DER; Mobile Workforce; Field Data Collection,Modernization Project,,215-494-2846,connect@cybertech.com,100,scraped
GIS Modernization for Electric Utilities: Navigating ArcMap ...,Utilities,,,,GIS,gis modernization,GIS; Esri; ArcGIS; Utility Network; IoT; cloud; ERP,,,,,"GIS Modernization for Electric Utilities: Navigating ArcMap Sunset | VertiGIS posted on the topic | LinkedIn Agree & Join LinkedIn By clicking Continue to join or sign in, you agree to LinkedIn’s User Agreement , Privacy Policy , and Cookie Policy . Skip to main content GIS Modernization for Electric Utilities: Navigating ArcMap Sunset This title was summarized by AI from the post below. VertiGIS 14,166 followers 6mo Edited Report this post Join us March 19th for a live webinar on GIS modernization for electric ",https://www.linkedin.com/posts/vertigis_join-us-march-19th-for-a-live-webinar-on-activity-7435776625675464704-2UTh,GIS modernization / migration,35,www.linkedin.com,electric utility; electric utilities; substation,,,,GIS Modernization,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Grid IoT; Utility Data Platform; DER; Remote Sensing,,,,,75,scraped
GIS Modernization for Electric Utilities: Navigating ArcMap ...,Utilities,,,,IoT,iot,GIS; Esri; ArcGIS; Utility Network; IoT; cloud; ERP,,,,,"ring, utilities (T&D), and telecommunications who want to make the most of their Looq data. 👉 Register here: https://lnkd.in/guHx9uhy #Surveying #Engineering #GIS #PointCloud #Utilities #Telecom #DigitalSurveying #LooqAI Looq AI Kevin Grover Lukas Fraser Dominique Meyer, PhD Peter Hedlund Teresa Elliott Mike McGill Christine Byrne 7 Like Comment Share Copy LinkedIn Facebook X To view or add a comment, sign in 14,166 followers View Profile Follow Explore content categories Career Productivity Finance Soft Skills & Emotional Intelligence Project Management Education Technology Leadership Ecommerce User Experience Show more Show less Sign in to view more content Create your free account or sign in to continue your search Email or phone Password Show Forgot password? Sign in Sign in with Email or",https://www.linkedin.com/posts/vertigis_join-us-march-19th-for-a-live-webinar-on-activity-7435776625675464704-2UTh,IoT / remote monitoring,35,www.linkedin.com,electric utility; electric utilities; substation,,,,GIS Modernization,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Grid IoT; Utility Data Platform; DER; Remote Sensing,,,,,75,scraped
Grid Modernization: A Case Study of Modernization for GIS,Utilities,,,Minnesota,GIS,gis modernization,GIS; Esri; ArcGIS; Utility Network; ERP,,,,,"tion for the utility's future. In this Q&A, Alex Shimmel, who represents the mapping technology company, and Russ Halgerson, who is the is the electric department manager at BMU, discuss their collaboration on modernization and share insights for other utilities. Image credit: Locana Shimmel: BMU’s GIS modernization initiative is a great case study for other utilities that are looking to migrate from legacy systems to a modern GIS system. Can you give readers some background about where things stood before this project? Halgerson: This is a timely topic for our industry because so many utilities are running up against the significant limitations of legacy systems that have served them well for a long time. This topic comes up nearly every time I talk to my peers at other utilities. Shimmel: How long was yo",https://electricenergyonline.com/energy/magazine/1407/article/The-Grid-Transformation-Forum-Grid-Modernization-A-Case-Study-of-Modernization-for-GIS.htm,GIS modernization / migration,65,electricenergyonline.com,electric utility; electric utilities,,"12,000",,Legacy Systems; GIS Modernization; Data Silos; Grid Modernization,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Grid Monitoring; DER,Modernization Project,,450.471.0796,info@electricenergyonline.com,100,scraped
Grid Modernization: A Case Study of Modernization for GIS,Utilities,,,Minnesota,Data,data migration,GIS; Esri; ArcGIS; Utility Network; ERP,,,,,"our data right in order for the platform rollout to truly live up to expectations. We worked hard on that early in the process by assessing each of those islands of data, cleaning it, preparing it for use in a next generation platform for utility management, and then having a great strategy for the data migration process. Shimmel: That is critical to focus on early in the process when going from legacy systems to a moderm utility network platform. Organizations are often stunned at how many batches of disconnected data they have across those legacy systems once they start doing a full inventory ahead of migration. And after years or decades in disparate GIS systems, the data sets often need a lot of TLC before they can be migrated. Halgerson: Doing that up-front work to get our data right was a key fact",https://electricenergyonline.com/energy/magazine/1407/article/The-Grid-Transformation-Forum-Grid-Modernization-A-Case-Study-of-Modernization-for-GIS.htm,Data integration / modernization,65,electricenergyonline.com,electric utility; electric utilities,,"12,000",,Legacy Systems; GIS Modernization; Data Silos; Grid Modernization,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Grid Monitoring; DER,Modernization Project,,450.471.0796,info@electricenergyonline.com,100,scraped
Grid Modernization: A Case Study of Modernization for GIS,Utilities,,,Minnesota,System Modernization,legacy system,GIS; Esri; ArcGIS; Utility Network; ERP,,,,," and Russ Halgerson, who is the is the electric department manager at BMU, discuss their collaboration on modernization and share insights for other utilities. Image credit: Locana Shimmel: BMU’s GIS modernization initiative is a great case study for other utilities that are looking to migrate from legacy systems to a modern GIS system. Can you give readers some background about where things stood before this project? Halgerson: This is a timely topic for our industry because so many utilities are running up against the significant limitations of legacy systems that have served them well for a long time. This topic comes up nearly every time I talk to my peers at other utilities. Shimmel: How long was your legacy system in place? Halgerson: Decades, which is a great thing. We used AutoCAD as the founda",https://electricenergyonline.com/energy/magazine/1407/article/The-Grid-Transformation-Forum-Grid-Modernization-A-Case-Study-of-Modernization-for-GIS.htm,Legacy system modernization,65,electricenergyonline.com,electric utility; electric utilities,,"12,000",,Legacy Systems; GIS Modernization; Data Silos; Grid Modernization,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Grid Monitoring; DER,Modernization Project,,450.471.0796,info@electricenergyonline.com,100,scraped
Grid Modernization: A Case Study of Modernization for GIS,Utilities,,,Minnesota,Grid,grid modernization,GIS; Esri; ArcGIS; Utility Network; ERP,,,,,"The Grid Transformation Forum | Grid Modernization: A Case Study of Modernization for GIS September 12, 2026 Home Login Home Magazine Article The Grid Transformation Forum | Grid Modernization: A Case Study of Modernization for GIS by Russ Halgerson, Brookings Municipal Utilities and Alex Shimmel, Locana Twitter Facebook Google + Send Print Based in the City of Brookings, South Dakota, Brookings Municipal Utilities (BMU) supplies power to approximately 12,000 customers. It also manages water and wastewater utility services, internet and telecom",https://electricenergyonline.com/energy/magazine/1407/article/The-Grid-Transformation-Forum-Grid-Modernization-A-Case-Study-of-Modernization-for-GIS.htm,Grid technology / analytics,65,electricenergyonline.com,electric utility; electric utilities,,"12,000",,Legacy Systems; GIS Modernization; Data Silos; Grid Modernization,GIS; Utility Network; Distribution Assets; OT / Grid Operations; Grid Monitoring; DER,Modernization Project,,450.471.0796,info@electricenergyonline.com,100,scraped
A New GIS Utility Software Powers Faster Service in ...,Utilities,,,Alaska,GIS,gis modernization,GIS; Esri; ArcGIS; Utility Network; ERP,,,,,"urce Data’s case study, Petersburg’s centralized inventory lays out the groundwork for integrating maintenance and work order management, and the Borough is positioned to move to Esri’s Utility Network in the future for advanced modeling and analysis. This case is a good example of how foundational GIS modernization is a platform decision, not just a recordkeeping improvement. The Borough gained stronger readiness for automation, better long-term planning, and a clearer path toward more advanced utility management capabilities.",https://www.resourcedata.com/insight/new-utility-software-powers-faster-more-reliable-service-in-petersburg/,GIS modernization / migration,45,www.resourcedata.com,electric distribution,,"2,500",,GIS Modernization; Data Quality,GIS; Utility Network; Distribution Assets; OT / Grid Operations; AI / Machine Learning; Data Management; Cloud; DER; Remote Sensing; Mobile Workforce; Field Data Collection,Modernization Project; Capital Investment,,,,100,scraped
A New GIS Utility Software Powers Faster Service in ...,Utilities,,,Alaska,Data,data quality,GIS; Esri; ArcGIS; Utility Network; ERP,,,,,"llow crews to collect asset locations and details directly in the field with much better precision than legacy maps or memory-based methods can provide. That field accuracy is critical when utilities need to locate buried or hard-to-see infrastructure quickly and reliably. Mobile tools also improve data quality by guiding crews through the information they need to collect at the time they are standing at the asset. Instead of writing notes separately and updating records later, staff can capture coordinates, attributes, and observations in one workflow. This reduces transcription errors and helps make the resulting dataset more complete. In Resource Data’s case study, Resource Data and Borough staff used ArcGIS Field Maps on iPads paired with Bad Elf GNSS receivers to map thousands of utility assets a",https://www.resourcedata.com/insight/new-utility-software-powers-faster-more-reliable-service-in-petersburg/,Data integration / modernization,45,www.resourcedata.com,electric distribution,,"2,500",,GIS Modernization; Data Quality,GIS; Utility Network; Distribution Assets; OT / Grid Operations; AI / Machine Learning; Data Management; Cloud; DER; Remote Sensing; Mobile Workforce; Field Data Collection,Modernization Project; Capital Investment,,,,100,scraped
A New GIS Utility Software Powers Faster Service in ...,Utilities,,,Alaska,Field Operations,field data collection,GIS; Esri; ArcGIS; Utility Network; ERP,,,,,"rk management. Key Takeaways From paper to power. Reliable GIS for every season. Centralized GIS ensures reliable records year-round A modernized system replaces outdated paper maps a nd CAD file s , giving Petersburg accurate utility information for every season. Integrated tools and comprehensive field data collection Three ArcGIS S olutions were deployed and configured , loaded with CAD data, and enhanced with over 37,000 mapped features collected in just 160 hours on site. Quicker, more precise service response GPS-enabled maps guide crews directly to asset s , even in snow or when buried , re ducing downtime and improving reliability. Live operational maps turn data into action Interactive maps and dashboards transform complex data into clear visuals, making it easy to track progress, spot trends, and pri",https://www.resourcedata.com/insight/new-utility-software-powers-faster-more-reliable-service-in-petersburg/,Field data / mobile GIS,45,www.resourcedata.com,electric distribution,,"2,500",,GIS Modernization; Data Quality,GIS; Utility Network; Distribution Assets; OT / Grid Operations; AI / Machine Learning; Data Management; Cloud; DER; Remote Sensing; Mobile Workforce; Field Data Collection,Modernization Project; Capital Investment,,,,100,scraped
Utility GIS Analyst - Attractivate Consulting Solutions,Utilities,,,,GIS,gis modernization,GIS; Esri; ArcGIS; Utility Network; ADMS; OMS; AMI,,,,,"ience with Esri Utility Network migration projects. Familiarity with ADMS/OMS-to-GIS integration. Knowledge of CIM (Common Information Model) data standards. Python or SQL scripting experience for GIS automation. What We Offer Competitive compensation and benefits package. Exposure to major utility GIS modernization initiatives. Collaborative, technically engaged team environment. Support for professional development and GIS certifications. Keywords geographic-information esri arcgis data-model data-quality warehousing-and-distribution distribution-and-storage advanced-distribution-management-system-adms asset-management maintenance-repair-and-operations-mro fashion-designers-collections credit-and-collections common-information-model-cim python sql scripting environment-health-and-safety-hsse ecology-envi",https://bebee.com/us/jobs/utility-gis-analyst-attractivate-consulting-solutions-houston-tx--t7xk-794069732,GIS modernization / migration,80,bebee.com,electric utility; electric distribution,,,,GIS Modernization; Data Quality,GIS; Utility Network; Electric Network Mapping; Grid Asset Management; ADMS; Distribution Management; Outage Management; Data Management; DER; DERMS; Mobile Workforce; Field Data Collection,Modernization Project,,,support@bebee.com,100,scraped
